TIPO_VIA;SINONIMO;DESCRIPCION;COMENTARIO
IBILB;PG;IBILBIDE;
IBILT;IBILT;IBILTOKIA;
ILLA;ILLA;ILLA;
IND;IND;INDUSTRIALDEA;
INDA;INDA;INDA;
JARD;JARD;JARDI;
JDIN;JDIN;JARDIN;
JDIN;LORAK;JARDIN;
JDIN;LORAT;JARDIN;
JDIN;XDIN;JARDIN;
JDINS;JDINS;JARDINES;
KAI;KAI;KAI;
KAI;MUELL;KAI;
KALE;C;KALE;
KALE;C/;KALE;
KALE;CALLE;KALE;
KALE;CARRE;KALE;
KALE;KALE;KALE;
KALE;KALEA;KALE;
KALE;KARRI;KALE;
KALE;RUA;KALE;
KALEA;C;KALEA;
KALEA;C/;KALEA;
KALEA;CALLE;KALEA;
KALEA;CARRE;KALEA;
KALEA;KALE;KALEA;
KALEA;KALEA;KALEA;
KALEA;KARRI;KALEA;
KALEA;RUA;KALEA;
KANT;KANT;KANTOIA;
KARIK;CLLJA;KARRIKA;
KARIK;KARIK;KARRIKA;
KARIK;RUELA;KARRIKA;
KARRE;CRA;KARRERA;
KARRE;KARRE;KARRERA;
KARRI;C;KARRICA;
KARRI;C/;KARRICA;
KARRI;CALLE;KARRICA;
KARRI;CARRE;KARRICA;
KARRI;KALE;KARRICA;
KARRI;KALEA;KARRICA;
KARRI;KARRI;KARRICA;
KARRI;RUA;KARRICA;
KOSTA;COSTA;KOSTA;
KOSTA;KOSTA;KOSTA;
KRRIL;CRRIL;KARRIL;
KRRIL;KRRIL;KARRIL;
LAGO;LAGO;LAGO;
LASTE;ATAJO;LASTERBIDE;
LASTE;ATAL;LASTERBIDE;
LASTE;ATALL;LASTERBIDE;
LASTE;LASTE;LASTERBIDE;
LDERA;LDERA;LADERA;
LEKU;LEKU;LEKU;
LEKU;LLOC;LEKU;
LEKU;LUGAR;LEKU;
LLOC;LEKU;LLOC;
LLOC;LLOC;LLOC;
LLOC;LUGAR;LLOC;
LOMA;LOMA;LOMA;
LORAK;JDIN;LORATEGIAK;
